Class,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Requested Bld,Requested Room,Day,Start,Stop,Notes,Unit Dept,Start Mtg Dt,End Mtg Dt
CAS AA207 A1,Race&Ethnic Rel,Grundy,4,Independent,11,11,CAS,325,CAS,315,"Tue,Thu", 2:00pm, 3:30pm,"Mts w/CAS SO207, Class Full",20229,1/19/2016,4/28/2016
CAS AA215 A1,Arts of Africa,Becker,4,Independent,2,5,CAS,214,CAS,214,"Tue,Thu", 2:00pm, 3:30pm,Mts w/CAS AH215,20229,1/19/2016,4/28/2016
CAS AA305 A1,Toni Morrison,Boelcskevy,4,Independent,4,15,AAS,102,AAS,102,"Tue,Thu", 9:30am,11:00am,Mts w/CAS EN370,20229,1/19/2016,4/28/2016
CAS AA310 A1,Civl Rghts Hist,TBA,4,Independent,0,5,CAS,B25A,CAS,116,Mon, 3:00pm, 6:00pm,Mts w/CAS HI299,,1/25/2016,4/25/2016
CAS AA382 A1,Rel Precol Afr,Thornton,4,Independent,1,4,AAS,101,AAS,101,"Tue,Thu", 2:00pm, 3:30pm,Mts w/GRS RN682 Mts w/CAS HI349 Mts w/CAS RN382 Mts w/GRS HI749 MTS W/STH TX883,20229,1/19/2016,4/28/2016
CAS AA385 A1,Atlantic Hist,Thornton,4,Independent,1,10,AAS,101,AAS,101,"Tue,Thu",11:00am,12:30pm,Mts w/GRS AA885 Mts w/GRS HI750 Mts w/CAS HI350,20229,1/19/2016,4/28/2016
CAS AA408 A1,S: Minorty Grps,Grundy,4,Independent,6,6,SOC,241,SOC,241,Thu, 9:30am,12:30pm,"Mts w/GRS AA808 Mts w/CAS SO408 Mts w/GRS SO808, Class Full",20229,1/21/2016,4/28/2016
CAS AA502 A1,Tpcs Af/Am Lit,Boelcskevy,4,Independent,3,15,AAS,102,AAS,102,Wed,10:00am, 1:00pm,Mts w/CAS EN588,,1/20/2016,4/27/2016
CAS AA504 A1,Blk&Asian Writr,Boelcskevy,4,Independent,3,15,AAS,102,AAS,102,"Tue,Thu",12:30pm, 2:00pm,Mts w/CAS EN484 Mts w/GRS EN684,20229,1/19/2016,4/28/2016
CAS AA580 A1,His Racial Thgt,Richardson,4,Independent,8,8,STH,319,STH,625,Mon, 1:00pm, 4:00pm,"Mts w/CAS HI580, Class Full",20229,1/25/2016,4/25/2016
CAS AA590 A1,World and West,Richardson,4,Independent,1,5,STH,317,STH,625,Tue, 2:00pm, 5:00pm,Mts w/CAS HI590,,1/19/2016,4/26/2016
CAS AH112 A1,Art History 2,Ribner,4,Lecture,34,240,LAW,AUD,LAW,AUD,"Tue,Thu",11:00am,12:30pm,,20208,1/19/2016,4/28/2016
CAS AH112 B1,Art History 2,Ribner,0,Discussion,3,16,CAS,424,CAS,424,Mon,11:00am,12:00pm,,20208,1/19/2016,4/29/2016
CAS AH112 C1,Art History 2,Ribner,0,Discussion,8,16,CAS,424,CAS,424,Mon,12:00pm, 1:00pm,,20208,1/19/2016,4/29/2016
CAS AH112 D1,Art History 2,Ribner,0,Discussion,3,16,CAS,424,CAS,424,Mon, 2:00pm, 3:00pm,,20208,1/19/2016,4/29/2016
CAS AH112 E1,Art History 2,Ribner,0,Discussion,0,16,CAS,424,CAS,424,Mon, 3:00pm, 4:00pm,,20208,1/19/2016,4/29/2016
CAS AH112 F1,Art History 2,Ribner,0,Discussion,6,16,CAS,424,CAS,424,Tue, 1:00pm, 2:00pm,,20208,1/19/2016,4/29/2016
CAS AH112 G1,Art History 2,Ribner,0,Discussion,2,16,CAS,424,CAS,424,Tue, 2:00pm, 3:00pm,,20208,1/19/2016,4/29/2016
CAS AH112 I1,Art History 2,Ribner,0,Discussion,5,16,CAS,424,CAS,424,Wed, 1:00pm, 2:00pm,,20208,1/19/2016,4/29/2016
CAS AH112 J1,Art History 2,Ribner,0,Discussion,3,16,CAS,424,CAS,424,Wed,12:00pm, 1:00pm,,20208,1/19/2016,4/29/2016
CAS AH112 M1,Art History 2,Ribner,0,Discussion,3,16,CAS,424,CAS,424,Thu, 1:00pm, 2:00pm,,20208,1/19/2016,4/29/2016
CAS AH201 A1,Understand Arch,Hochhausl,4,Independent,21,39,CAS,324,CAS,326,"Tue,Thu",12:30pm, 2:00pm,,20208,1/19/2016,4/28/2016
CAS AH215 A1,Arts of Africa,Becker,4,Independent,9,30,CAS,214,CAS,214,"Tue,Thu", 2:00pm, 3:30pm,Mts w/CAS AA215,20208,1/19/2016,4/28/2016
CAS AH233 A1,Art of Greece,TBA,4,Independent,5,22,CAS,322,CAS,212,"Mon,Wed,Fri", 3:00pm, 4:00pm,,,1/20/2016,4/29/2016
CAS AH240 A1,Medieval Art,Kahn,4,Independent,10,30,CAS,225,CAS,225,"Mon,Wed,Fri",11:00am,12:00pm,,,1/20/2016,4/29/2016
CAS AH242 A1,Latin Ameri Art,TBA,4,Independent,5,22,CAS,322,CAS,212,"Mon,Wed,Fri", 2:00pm, 3:00pm,,,1/20/2016,4/29/2016
CAS AH295 A1,Hist of Photog,TBA,4,Independent,11,39,CAS,324,CAS,326,"Tue,Thu",11:00am,12:30pm,,20208,1/19/2016,4/28/2016
CAS AH313 A1,Early Mod Islam,TBA,4,Independent,Cancelled,Cancelled,,,ARR,ARR,Tue, 5:30pm, 8:30pm,Mts w/CAS HI313,20208,1/19/2016,4/26/2016
CAS AH314 A1,after Genghis,Fetvaci,4,Independent,6,22,CAS,322,CAS,212,"Tue,Thu", 2:00pm, 3:30pm,,,1/19/2016,4/28/2016
CAS AH326 A1,Arts of Japan,Tseng,4,Independent,22,22,CAS,214,CAS,212,"Tue,Thu", 9:30am,11:00am,Class Full,20208,1/19/2016,4/28/2016
CAS AH361 A1,Southern Baroq,Zell,4,Independent,10,35,CAS,214,CAS,214,"Mon,Wed,Fri",10:00am,11:00am,,20208,1/20/2016,4/29/2016
CAS AH377 A1,Amer Furniture,Hall,4,Independent,6,22,CAS,322,CAS,212,"Tue,Thu", 3:30pm, 5:00pm,,,1/19/2016,4/28/2016
CAS AH379 A1,19C US Art&Cult,Barrett,4,Independent,11,26,CAS,322,CAS,214,"Tue,Thu", 9:30am,11:00am,,,1/19/2016,4/28/2016
CAS AH392 A1,Art 1940-1980,Williams,4,Independent,12,39,CAS,324,CAS,326,"Mon,Wed,Fri", 1:00pm, 2:00pm,,20208,1/20/2016,4/29/2016
CAS AH428 A1,Islamic Art,Fetvaci,4,Independent,3,14,CAS,320,CAS,320,Thu, 9:30am,12:30pm,,,1/21/2016,4/28/2016
CAS AH521 A1,Curatorship,TBA,4,Independent,9,14,CAS,320,CAS,320,Mon, 9:00am,12:00pm,,20208,1/25/2016,4/25/2016
CAS AH527 A1,Art & Society,Ribner,4,Independent,4,14,CAS,320,CAS,320,Tue, 2:00pm, 5:00pm,,20208,1/19/2016,4/26/2016
CAS AH527 B1,Art & Society,TBA,4,Independent,2,14,CAS,320,CAS,320,Fri, 9:00am,12:00pm,,20208,1/22/2016,4/29/2016
CAS AH527 C1,Art & Society,Becker,4,Independent,4,14,CAS,320,CAS,320,Tue, 9:30am,12:30pm,,20208,1/19/2016,4/26/2016
CAS AH546 A1,Historic Presrv,Staff,4,Independent,3,10,HIS,504,HIS,110,Tue, 5:30pm, 8:30pm,Mts w/CAS AM546,,1/19/2016,4/26/2016
CAS AH563 A1,Global Baroque,Zell,4,Independent,9,14,CAS,320,CAS,320,Fri, 1:00pm, 4:00pm,,,1/22/2016,4/29/2016
CAS AH580 A1,Arch Tech& Mat,Brown,4,Independent,16,14,CAS,303A,CAS,303A,Tue, 9:30am,12:30pm,Class Full,20208,1/19/2016,4/26/2016
CAS AH585 A1,20CEN Arc&Urban,Hochhausl,4,Independent,Cancelled,Cancelled,,,CAS,303A,Wed, 2:00pm, 5:00pm,,20208,1/20/2016,4/27/2016
CAS AH587 A1,Green Design,Hochhausl,4,Independent,14,14,CAS,ARR,,,Wed, 2:00pm, 5:00pm,Class Full,,1/20/2016,4/27/2016
CAS AH591 A1,Sem: Photo Hist,TBA,4,Independent,2,14,CAS,320,CAS,320,Thu, 2:00pm, 5:00pm,,20208,1/21/2016,4/28/2016
CAS AH598 A1,Sister Arts,Redford,4,Independent,7,7,CAS,430,CAS,430,"Tue,Thu",12:30pm, 2:00pm,"Mts w/CAS EN594, Class Full",,1/19/2016,4/28/2016
CAS AI101 A1,Intr Asia Study,Ye,1,Independent,2,10,IRB,102,,,Mon,12:00pm, 1:00pm,,20211,1/25/2016,4/25/2016
CAS AM200 A1,Intro Amer Stud,Howell,4,Independent,7,15,HIS,110,HIS,110,"Tue,Thu",11:00am,12:30pm,,20228,1/19/2016,4/28/2016
CAS AM202 A1,What's Boston?,Bluestone,4,Lecture,6,60,CAS,316,CAS,316,Wed, 5:00pm, 6:30pm,,20228,1/20/2016,4/27/2016
CAS AM202 B1,What's Boston?,Bluestone,0,Discussion,5,20,CAS,312,CAS,312,Wed, 6:30pm, 8:00pm,,20228,1/20/2016,4/27/2016
CAS AM202 B2,What's Boston?,Bluestone,0,Discussion,0,20,CAS,322,CAS,322,Wed, 6:30pm, 8:00pm,,20228,1/20/2016,4/27/2016
CAS AM202 B3,What's Boston?,Bluestone,0,Discussion,1,20,CAS,318,CAS,318,Wed, 6:30pm, 8:00pm,,20228,1/20/2016,4/27/2016
CAS AM250 A1,Am Arts and Soc,Pouliot,4,Independent,1,15,HIS,110,HIS,110,"Tue,Thu", 9:30am,11:00am,,20228,1/19/2016,4/28/2016
CAS AM313 A1,Pub Hist Intern,Dempsey,4,Independent,5,5,HIS,B06,HIS,B06,Tue, 5:30pm, 7:30pm,Class Full,20228,1/19/2016,4/26/2016
CAS AM502 A1,Topics-Am Stud,Moore,4,Independent,7,15,HIS,110,HIS,110,Thu, 2:00pm, 5:00pm,,20228,1/21/2016,4/28/2016
CAS AM546 A1,Historic Presrv,Bluestone,4,Independent,1,7,HIS,504,HIS,110,Tue, 5:30pm, 8:30pm,Mts w/CAS AH546,,1/19/2016,4/26/2016
CAS AM554 A1,Preserv Plann'G,TBA,4,Independent,2,10,ARR,ARR,,,Wed, 5:30pm, 8:30pm,,,1/20/2016,4/27/2016
CAS AN101 A1,Intro Cult Anth,Barfield,4,Lecture,8,200,KCB,101,KCB,101,"Tue,Thu", 2:00pm, 3:30pm,,20226,1/19/2016,4/28/2016
CAS AN101 A2,Intro Cult Anth,Barfield,0,Discussion,3,25,SED,140,SED,208,Thu,11:00am,12:00pm,,20226,1/21/2016,4/28/2016
CAS AN101 A3,Intro Cult Anth,Barfield,0,Discussion,0,25,CAS,312,CAS,323A,Fri, 9:00am,10:00am,,20226,1/22/2016,4/29/2016
CAS AN101 A4,Intro Cult Anth,Barfield,0,Discussion,1,25,STH,B20,STH,B20,Thu, 1:00pm, 2:00pm,,20226,1/21/2016,4/28/2016
CAS AN101 A5,Intro Cult Anth,Barfield,0,Discussion,0,25,CAS,223,CAS,223,Thu, 8:30am, 9:30am,,20226,1/21/2016,4/28/2016
CAS AN101 A6,Intro Cult Anth,Barfield,0,Discussion,0,25,CAS,424,CAS,424,Fri, 1:00pm, 2:00pm,,20226,1/22/2016,4/29/2016
CAS AN101 A7,Intro Cult Anth,Barfield,0,Discussion,0,25,CAS,312,CAS,312,Tue, 8:30am, 9:30am,,20226,1/19/2016,4/26/2016
CAS AN101 A8,Intro Cult Anth,Barfield,0,Discussion,2,25,CAS,220,CAS,227,Mon, 3:00pm, 4:00pm,,20226,1/25/2016,4/25/2016
CAS AN101 A9,Intro Cult Anth,Barfield,0,Discussion,0,25,STH,113,CAS,B06A,Mon, 2:00pm, 3:00pm,,20226,1/25/2016,4/25/2016
CAS AN101 B1,Intro Cult Anth,Barfield,0,Discussion,2,25,CAS,237,CAS,237,Wed, 3:00pm, 4:00pm,,20226,1/20/2016,4/27/2016
